"SERIES","Posición spot y de derivados del mercado cambiario formal. BB02401","Posición spot y de derivados del mercado cambiario formal. BB02402","Posición spot y de derivados del mercado cambiario formal. BB02403","Posición spot y de derivados del mercado cambiario formal. BB02404","Posición spot y de derivados del mercado cambiario formal. BB02405","Posición spot y de derivados del mercado cambiario formal. BB02406","Posición spot y de derivados del mercado cambiario formal. BB02407"
"DESCRIPCIÓN","Posiciones de derivados con el mercado externo, De compra","Posiciones de derivados con el mercado externo, De venta","Posiciones de derivados con el mercado externo, Neta","Posiciones de derivados con el mercado local, De compra","Posiciones de derivados con el mercado local, De venta","Posiciones de derivados con el mercado local, Neta ","Posiciones de derivados con el mercado local, Interbancaria"
"UNIDAD","(Millones de dólares)","(Millones de dólares)","(Millones de dólares)","(Millones de dólares)","(Millones de dólares)","(Millones de dólares)","(Millones de dólares)"
"ENE2007","10777.17456","19959.35217","-9182.177608","19878.24331","11755.45983","8122.737652","20609.02253"
"FEB2007","9855.776537","18195.52621","-8339.749673","19800.53614","11947.5918","7852.944338","19164.15131"
"MAR2007","9171.88302","18042.29911","-8870.416094","19674.42922","10837.40404","8837.025188","17778.5812"
"ABR2007","8711.346615","16293.55348","-7582.206861","18445.95315","11758.75906","6687.194092","18371.59066"
"MAY2007","10204.01055","18254.14573","-8050.135185","20240.74809","12176.8829","8063.865194","20670.40344"
"JUN2007","10223.63885","18062.48704","-7838.848186","20734.15874","11021.70458","9712.454162","21353.25965"
"JUL2007","11774.71452","18586.53351","-6811.818992","22069.0162","12683.12798","9385.888215","22071.98258"
"AGO2007","12739.61812","20087.67463","-7348.056517","25016.21874","12746.91052","12269.30822","22544.52217"
"SEP2007","15156.35318","19561.86725","-4405.514076","25102.97884","15001.71686","10101.26197","23363.092"
"OCT2007","17523.76062","22037.57663","-4513.816011","27463.33506","16904.34233","10559.36846","24435.46572"
"NOV2007","17563.54149","26263.7146","-8700.173115","29995.92221","16123.18523","13873.11271","25492.30491"
"DIC2007","17861.73957","24642.4787","-6780.739128","28819.0809","16828.7526","11989.96977","23657.8154"
"ENE2008","21711.87981","27941.6293","-6229.749484","29965.17232","18461.79169","11503.0221","22708.83444"
"FEB2008","19449.14734","24316.44009","-4867.29274","30581.48296","19802.78999","10778.33444","23092.12619"
"MAR2008","17936.68767","24780.10583","-6843.418161","34057.30504","19610.53299","14446.67927","25690.24142"
"ABR2008","13760.44006","21541.55052","-7781.142171","34302.07906","19607.37437","14694.61191","25896.12759"
"MAY2008","13043.64308","21035.2631","-7991.620016","35709.86583","19163.2117","16546.56135","24145.03121"
"JUN2008","15814.8398","24082.82139","-8267.98159","36850.60422","19348.22331","17502.55388","26204.44302"
"JUL2008","16623.2281","23303.885","-6680.6569","36187.65084","20103.31785","16084.50596","26291.53646"
"AGO2008","16085.3195","22707.18447","-6621.864972","35577.79063","19263.69233","16314.27126","25403.69583"
"SEP2008","15176.31144","22193.00926","-7016.697822","33558.20803","17422.33526","16136.31149","23649.76924"
"OCT2008","12180.20391","19277.76027","-7097.556357","30747.88039","16303.05303","14445.26607","20332.71535"
"NOV2008","11190.76208","17653.21752","-6462.455442","29431.92329","15935.67686","13496.68514","18657.82949"
"DIC2008","9711.959965","15979.83165","-6267.871687","27556.29593","13844.53032","13711.47007","16082.45321"
"ENE2009","11517.01074","17475.04104","-5958.030304","26643.84114","13290.3899","13353.15569","17765.73367"
