Periodo,1.Dólar Observado (pesos por dólar)
01-2010,500.66
02-2010,532.56
03-2010,523.16
04-2010,520.62
05-2010,533.21
06-2010,536.67
07-2010,531.72
08-2010,509.32
09-2010,493.93
10-2010,484.04
11-2010,482.32
12-2010,474.78
01-2011,489.44
02-2011,475.69
03-2011,479.65
04-2011,471.32
05-2011,467.73
06-2011,469.41
07-2011,462.94
08-2011,466.79
09-2011,483.69
10-2011,511.74
11-2011,508.44
12-2011,517.17
01-2012,501.34
02-2012,481.49
03-2012,485.40
04-2012,486.00
05-2012,497.09
06-2012,505.63
07-2012,491.93
08-2012,480.99
09-2012,474.97
10-2012,475.36
11-2012,480.57
12-2012,477.13
01-2013,472.67
02-2013,472.34
03-2013,472.48
04-2013,472.14
05-2013,479.58
06-2013,502.89
07-2013,504.96
08-2013,512.59
09-2013,504.57
10-2013,500.81
11-2013,519.25
12-2013,529.45
01-2014,537.03
02-2014,554.41
03-2014,563.84
04-2014,554.64
05-2014,555.40
06-2014,553.06
07-2014,558.21
08-2014,579.05
09-2014,593.47
10-2014,589.98
11-2014,592.46
12-2014,612.92
01-2015,620.91
02-2015,623.62
03-2015,628.50
04-2015,614.73
05-2015,607.60
06-2015,629.99
07-2015,650.14
08-2015,688.12
09-2015,691.73
10-2015,685.31
11-2015,704.00
12-2015,704.24
01-2016,721.95
02-2016,704.08
03-2016,682.07
04-2016,669.93
05-2016,681.87
06-2016,681.07
07-2016,657.57
08-2016,658.89
09-2016,668.63
10-2016,663.92
11-2016,666.12
12-2016,667.17
01-2017,661.19
02-2017,643.21
03-2017,661.20
04-2017,655.74
05-2017,671.54
06-2017,665.15
07-2017,658.17
08-2017,644.24
09-2017,625.54
10-2017,629.55
11-2017,633.77
12-2017,636.92
01-2018,605.53
02-2018,596.84
03-2018,603.45
04-2018,600.55
05-2018,626.12
06-2018,636.15
07-2018,652.41
08-2018,656.25
09-2018,680.91
10-2018,676.84
11-2018,677.61
12-2018,681.99
01-2019,677.06
02-2019,656.30
03-2019,667.68
04-2019,667.40
05-2019,692.00
06-2019,692.41
07-2019,686.06
08-2019,713.70
09-2019,718.44
10-2019,721.03
11-2019,776.53
12-2019,770.39
01-2020,772.65
02-2020,796.38
03-2020,839.38
04-2020,853.38
05-2020,821.81
06-2020,793.72
07-2020,784.73
08-2020,784.66
09-2020,773.40
10-2020,788.27
11-2020,762.88
12-2020,734.73
01-2021,723.56
02-2021,722.63
03-2021,726.37
04-2021,707.85
05-2021,712.26
06-2021,726.54
07-2021,750.44
08-2021,779.83
09-2021,783.63
10-2021,813.95
11-2021,812.62
12-2021,849.12
01-2022,822.05
02-2022,807.07
03-2022,799.19
04-2022,815.12
05-2022,849.39
06-2022,857.77
07-2022,953.71
08-2022,904.35
09-2022,921.01
