Gasolina 93,Gasolina 97,Kerosene,Diesel,GLP,"Fuel Oil
N° 6",
Fecha,US$/m3,US$/m3,US$/m3,US$/m3,US$/ton,US$/tm
13-oct.-22,"856,55","916,28","1070,33","996,51","640,98","472,53"
06-oct.-22,"812,77","874,48","1006,49","934,33","662,5","487,39"
29-sep-22,"804,17","866,47","1002,45","937,26","708,64","520,26"
22-sep-22,"787,38","845,51",1034,"964,25","737,6","542,29"
15-sep-22,"773,9","817,51","1059,45","999,21","756,17","584,22"
08-sep-22,"792,92","829,52","1084,07","1033,7","768,39","622,59"
01-sep-22,"811,05","851,01","1061,47","1017,29","757,58","629,48"
25-ago-22,"829,38","877,75","1005,48","962,08","744,53","650,24"
18-ago-22,"849,22","911,25","1005,17","959,62","755,11","673,83"
11-ago-22,"883,88","953,89","1040,87","996,26","773,14","677,68"
04-ago-22,"918,93","988,86","1058,71","1012,73","781,4","673,67"
28-jul-22,"932,94","1003,58","1072,12","1023,08","778,94","637,28"
21-jul-22,"976,4","1048,12","1082,77","1036,28","789,44","613,08"
14-jul-22,"1081,18","1160,6","1129,16","1087,96","812,97","648,1"
07-jul-22,"1136,42","1228,09","1209,85","1171,21","818,69","664,8"
30-jun-22,"1154,74","1268,64","1260,52","1218,67","815,52","678,58"
23-jun-22,"1206,08","1313,59","1262,69","1220,52","821,33","697,69"
16-jun-22,"1220,51","1300,59","1224,45","1189,26","831,94","708,21"
09-jun-22,"1151,07","1220,18","1155,62","1104,9","824,39","710,56"
02-jun-22,"1105,26","1177,57","1111,15","1043,08","818,37","700,01"
26-may-22,"1091,41","1153,23","1125,92","1057,94","825,2","673,4"
19-may-22,"1060,89","1108,93","1185,96","1140,26","837,76","672,73"
12-may-22,"990,78","1035,33","1184,77","1171,97","844,76","679,86"
05-may-22,"935,2","977,78","1132,29","1120,81","858,41","674,19"
28-abr-22,"931,78","978,86","1094,41","1071,84","874,87","670,7"
21-abr-22,"923,81","964,76","1063,64","1039,09","881,75","658,04"
14-abr-22,"905,96","935,75","1059,17","1005,61","906,46","659,43"
07-abr-22,"925,58","952,23","1101,99","1035,18","942,28","687,3"
31-mar-22,"925,01","951,54","1074,17","1004,62","908,68","670,95"
24-mar-22,"923,95","950,37","1061,14","984,01","944,75","682,55"
17-mar-22,"937,82","964,59","1066,94","997,02","985,16","687,29"
10-mar-22,"866,07","891,46","946,43","875,36","953,9","621,09"
03-mar-22,"805,18","826,13","857,72","783,54","885,72","586,34"
24-feb-22,"800,97","820,27","855,38","783,02","840,18","589,92"
17-feb-22,"786,55","805,64","843,6","772,43","844,04","588,84"
10-feb-22,"755,71","774,51","818,08","746,02","834,56","573,29"
03-feb-22,"733,67","751,99","804,98","728,61","801,04","558,77"
27-ene-22,"715,71","735,6","789,62","712,58","793,72","537,39"
20-ene-22,"692,94","713,32","755,49","682,43","773,83","515,98"
13-ene-22,"679,01","697,92","727,75","657,08","757,11","503,52"
06-ene-22,"661,73","679,21","710,6","636,47","731,17","492,06"
30-dic-21,"642,81","660,33","651,08","620,53","718,63","473,19"
23-dic-21,"640,05","658,1","651,42","616,94","723,61","468,73"
16-dic-21,"621,17","641,81","632,86","595,68","723,82","447,93"
09-dic-21,"636,28","659,89","643,05","602,6","750,23","455,04"
02-dic-21,"680,27","707,28","682,94","645,09","795,89","486,03"
25-nov.-21,"685,28","713,18","693,83","660,84","852,11","489,59"
18-nov.-21,"700,44","726,55","702,25","674,6","901,4","495,72"
11-nov.-21,"713,89","737,98","703,17","678,27","903,87","506,58"
04-nov.-21,"717,75","741,05","705,83","684,04","918,36","520,11"
28-oct.-21,"708,29","730,88","702,5","683,43","938,22","530,04"
21-oct.-21,"692,1","714,62","692,42","672,35","947,22","528,04"
14-oct.-21,"662,85","685,72","667,44","646,11","938,26","509,79"
07-oct.-21,634,"658,54","634,46","613,89","898,13","485,05"
30-sep-21,"636,38","663,48","616,14","594,79","861,97","467,26"
23-sep-21,"643,88","671,54","606,63","584,29","823,13","461,55"
16-sep-21,"639,26","664,62","598,1","578,74","787,92","457,98"
09-sep-21,"632,06","652,68","590,06","571,39","767,1","452,91"
02-sep-21,"610,79","631,18","567,02","548,24","752,67","433,91"
26-ago-21,"619,62","644,08","564,93","546,08","754,52","426,83"
19-ago-21,"639,59","664,77","579,06",560.80,"743,1","433,45"
12-ago-21,"641,55","666,27","591,36","573,1","739,49","441,42"
05-ago-21,"631,03","657,65","590,45","569,57","735,3","435,79"
29-jul-21,"627,65","655,99","590,1","566,9","735,77","429,8"
22-jul-21,"635,3","663,91","597,08","574,04","742,29","434,95"
15-jul-21,"630,14","659,28","593,8","574,26","737,35","440,1"
08-jul-21,"626,3","654,28",593,"577,16","710,55","446,08"
01-jul-21,"611,54","636,78","587,57","572,72","678,81","440,02"
24-jun-21,"603,1","626,31","578,17","566,74","653,44","429,59"
17-jun-21,"602,53","624,7","570,73","561,68","642,48","424,95"
10-jun-21,"589,3","610,17",561,"549,49","620,93","415,39"
03-jun-21,"583,12","606,64","554,69","541,43","598,2","404,27"
27-may-21,"592,21","617,22","566,22","546,97","619,53","414,4"
20-may-21,"596,32","616,8","569,03","546,57","614,03","437,18"
13-may-21,"584,02","601,8","550,64","529,16","631,66","441,27"
06-may-21,"570,17","588,04","536,16","514,11","612,12","436,45"
29-abr-21,"566,76","584,12","529,6","507,94","591,12","435,6"
22-abr-21,"564,74","582,24","521,87","500,3","646,81","416,82"
15-abr-21,"562,4","580,8","515,87",493,"674,68","402,9"
08-abr-21,"556,16","575,07","510,78",492,"662,01","401,36"
01-abr-21,"559,18","577,32","518,97","503,45","654,98","400,3"
25-mar-21,"584,44","601,13","539,06","523,69","674,36","414,89"
