Periodo,1.Dólar observado
2019-01-01,677.06
2019-02-01T00:00:00.000,656.30
2019-03-01T00:00:00.000,667.68
2019-04-01T00:00:00.000,667.40
2019-05-01T00:00:00.000,692.00
2019-06-01T00:00:00.000,692.41
2019-07-01T00:00:00.000,686.06
2019-08-01T00:00:00.000,713.70
2019-09-01T00:00:00.000,718.44
2019-10-01T00:00:00.000,721.03
2019-11-01T00:00:00.000,776.53
2019-12-01T00:00:00.000,770.39
2020-01-01T00:00:00.000,772.65
2020-02-01T00:00:00.000,796.38
2020-03-01T00:00:00.000,839.38
2020-04-01T00:00:00.000,853.38
2020-05-01T00:00:00.000,821.81
2020-06-01T00:00:00.000,793.72
2020-07-01T00:00:00.000,784.73
2020-08-01T00:00:00.000,784.66
2020-09-01T00:00:00.000,773.40
2020-10-01T00:00:00.000,788.27
2020-11-01T00:00:00.000,762.88
2020-12-01T00:00:00.000,734.73
2021-01-01T00:00:00.000,723.56
2021-02-01T00:00:00.000,722.63
2021-03-01T00:00:00.000,726.37
2021-04-01T00:00:00.000,707.85
2021-05-01T00:00:00.000,712.26
2021-06-01T00:00:00.000,726.54
2021-07-01T00:00:00.000,750.44
2021-08-01T00:00:00.000,779.83
2021-09-01T00:00:00.000,783.63
2021-10-01T00:00:00.000,813.95
2021-11-01T00:00:00.000,812.62
2021-12-01T00:00:00.000,849.12
2022-01-01T00:00:00.000,822.05
2022-02-01T00:00:00.000,807.07
2022-03-01T00:00:00.000,799.19
2022-04-01T00:00:00.000,815.12
2022-05-01T00:00:00.000,849.39
2022-06-01T00:00:00.000,857.77
2022-07-01T00:00:00.000,953.71
2022-08-01T00:00:00.000,904.35
2022-09-01T00:00:00.000,921.01
