"SERIES","Inflación del índice de precios al consumidor (IPC) y medidas subyacentes. BI00101","Inflación del índice de precios al consumidor (IPC) y medidas subyacentes. BI00102","Inflación del índice de precios al consumidor (IPC) y medidas subyacentes. BI00103","Inflación del índice de precios al consumidor (IPC) y medidas subyacentes. BI00104","Inflación del índice de precios al consumidor (IPC) y medidas subyacentes. BI00105","Inflación del índice de precios al consumidor (IPC) y medidas subyacentes. BI00106","Inflación del índice de precios al consumidor (IPC) y medidas subyacentes. BI00107","Inflación del índice de precios al consumidor (IPC) y medidas subyacentes. BI00108","Inflación del índice de precios al consumidor (IPC) y medidas subyacentes. BI00109","Inflación del índice de precios al consumidor (IPC) y medidas subyacentes. BI00110","Inflación del índice de precios al consumidor (IPC) y medidas subyacentes. BI00111","Inflación del índice de precios al consumidor (IPC) y medidas subyacentes. BI00112","Inflación del índice de precios al consumidor (IPC) y medidas subyacentes. BI00113","Inflación del índice de precios al consumidor (IPC) y medidas subyacentes. BI00114","Inflación del índice de precios al consumidor (IPC) y medidas subyacentes. BI00115"
"DESCRIPCIÓN","IPC. Indice. ","IPC. Variación porcentual. En el mes. ","IPC. Variación porcentual. En 12 meses. ","IPCSAE. Indice. ","IPCSAE. Variación porcentual. En el mes. ","IPCSAE. Variación porcentual. En 12 meses. ","IPCT. Indice. ","IPCT. Variación porcentual. En el mes. ","IPCT. Variación porcentual. En 12 meses. ","IPCN. Indice. ","IPCN. Variación porcentual. En el mes. ","IPCN. Variación porcentual. En 12 meses. ","IPC de frutas y verduras. Indice. ","IPC de frutas y verduras. En el mes. ","IPC de frutas y verduras. En 12 meses. "
"UNIDAD","(Base 2018=100)","(Base 2018=100)","(Base 2018=100)","(Base 2018=100)","(Base 2018=100)","(Base 2018=100)","(Base 2018=100)","(Base 2018=100)","(Base 2018=100)","(Base 2018=100)","(Base 2018=100)","(Base 2018=100)","(Base 2018=100)","(Base 2018=100)","(Base 2018=100)"
"ENE2010","_","0.5","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB2010","_","0.3","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR2010","_","0.1","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR2010","_","0.5","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY2010","_","0.4","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN2010","_","0","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL2010","_","0.6","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO2010","_","-0.1","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP2010","_","0.4","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT2010","_","0.1","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV2010","_","0.1","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC2010","_","0.1","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE2011","_","0.3","2.7","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB2011","_","0.2","2.7","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR2011","_","0.8","3.4","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR2011","_","0.3","3.2","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY2011","_","0.4","3.3","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN2011","_","0.2","3.4","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL2011","_","0.1","2.9","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO2011","_","0.2","3.2","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP2011","_","0.5","3.3","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT2011","_","0.5","3.7","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV2011","_","0.3","3.9","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC2011","_","0.6","4.4","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE2012","_","0.1","4.2","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB2012","_","0.4","4.4","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR2012","_","0.2","3.8","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR2012","_","0.1","3.5","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY2012","_","0","3.1","_","_","_","_","_","_","_","_","_","_","_","_"
