,,,,,,,,,,,,,,
"CUADRO 1:   LICENCIAS DE CONDUCIR POR CLASE, SEGÚN TIPO DE TRÁMITE. AÑO 2014 P/",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TRÁMITE,TOTAL,PROFESIONALES,,,,,,NO PROFESIONALES,,,ESPECIALES,,,
,,Total,A1,A2,A3,A4,A5,Total,B,C,Total,D,E,F
,,,,,,,,,,,,,,
TOTAL,1 477 533,334 095,68 112,153 298,35 716,58 416,18 553,1 006 297,905 581,100 716,137 141,119 024,858,17 259
date,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
NUEVA,303 859,48 403,1 356,20 292,5 983,16 036,4 736,215 202,186 657,28 545,40 254,34 606,61,5 587
RENOVADA,1 173 674,285 692,66 756,133 006,29 733,42 380,13 817,791 095,718 924,72 171,96 887,84 418,797,11 672
   P   Cifras  Provisionales,,,,,,,,,,,,,,
"Nota 1: De acuerdo a la apertura de tipo de trámite de las municipalidades, la información se ha clasificado en dos trámites Nueva y Renovada.",,,,,,,,,,,,,,
"Nota 2: Para cada clase de licencia de conducir, se considera solamente un trámite realizado en el año (trámite final). ",,,,,,,,,,,,,,
"Nota 3: Durante el año 2014 , comenzó a otorgar Licencias de Conducir, la municipalidad de  San Pablo (X región). ",,,,,,,,,,,,,,
