,,,,,,,,,,,,,,,
,"CUADRO 1:   NÚMERO DE LICENCIAS DE CONDUCIR TRAMITADAS POR CLASE, SEGÚN TIPO DE TRÁMITE. AÑO 2016P/",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Tipo de trámite,TOTAL,Licencias de conducir por clase,,,,,,,,,,,,
,,,Profesionales,,,,,,No profesionales,,,Especiales,,,
,,,Total,A1,A2,A3,A4,A5,Total,B,C,Total,D,E,F
,,,,,,,,,,,,,,,
,2016P/,1 270 050,229 663,21 816,91 248,30 978,66 749,18 872,924 346,840 612,83 734,116 041,100 571,564,14 906
,date,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
,NUEVA,299 142,49 021,574,18 305,7 165,17 839,5 138,218 408,191 767,26 641,31 713,27 368,55,4 290
,RENOVADA,970 908,180 642,21 242,72 943,23 813,48 910,13 734,705 938,648 845,57 093,84 328,73 203,509,10 616
,P/: Cifras  provisionales,,,,,,,,,,,,,,
,"Nota 1: de acuerdo a la apertura de tipo de trámite en las municipalidades, la información se ha clasificado en dos trámites: nueva y renovada.",,,,,,,,,,,,,,
,"Nota 2: para cada clase de licencia de conducir, se considera solamente un trámite realizado en el año (trámite final). ",,,,,,,,,,,,,,
