date,Tipo de trámite,,,Total 2018P/,Nueva,Renovada
2018,Licencias de conducir por clase,Profesionales,A1,48 266,770,47 496
2018,Licencias de conducir por clase,Profesionales,A2,132 651,14 938,117 713
2018,Licencias de conducir por clase,Profesionales,A3,37 123,6 715,30 408
2018,Licencias de conducir por clase,Profesionales,A4,67 372,15 659,51 713
2018,Licencias de conducir por clase,Profesionales,A5,22 890,4 880,18 010
2018,Licencias de conducir por clase,No profesionales,B,971 702,194 253,777 449
2018,Licencias de conducir por clase,No profesionales,C,95 896,24 007,71 889
2018,Licencias de conducir por clase,Especiales,D,123 201,27 181,96 020
2018,Licencias de conducir por clase,Especiales,E,708,50,658
2018,Licencias de conducir por clase,Especiales,F,16 374,3 560,12 814
