date,Tipo de trámite,,,Total 2019P/,Nueva,Renovada
2020,,Profesionales,A1,8 812,257,8 555
2020,,Profesionales,A2,39 970,8 095,31 875
2020,,Profesionales,A3,13 439,3 037,10 402
2020,,Profesionales,A4,31 277,9 318,21 959
2020,,Profesionales,A5,11 576,4 214,7 362
2020,,No profesionales,B,431 751,124 522,307 229
2020,,No profesionales,C,44 902,16 053,28 849
2020,,Especiales,D,49 905,13 549,36 356
2020,,Especiales,E,244,28,216
2020,,Especiales,F,6 784,1 989,4 795


2019,Licencias de conducir por clase,Profesionales,A1,49 023,936,48 087
2019,Licencias de conducir por clase,Profesionales,A2,134 674,15 670,119 004
2019,Licencias de conducir por clase,Profesionales,A3,36 547,6 113,30 434
2019,Licencias de conducir por clase,Profesionales,A4,69 193,15 923,53 270
2019,Licencias de conducir por clase,Profesionales,A5,23 426,5 280,18 146
2019,Licencias de conducir por clase,No profesionales,B,939 225,196 266,742 959
2019,Licencias de conducir por clase,No profesionales,C,94 906,23 411,71 495
2019,Licencias de conducir por clase,Especiales,D,122 056,27 210,94 846
2019,Licencias de conducir por clase,Especiales,E,643,56,587
2019,Licencias de conducir por clase,Especiales,F,16 312,3 900,12 412


2018,Licencias de conducir por clase,Profesionales,A1,48 266,770,47 496
2018,Licencias de conducir por clase,Profesionales,A2,132 651,14 938,117 713
2018,Licencias de conducir por clase,Profesionales,A3,37 123,6 715,30 408
2018,Licencias de conducir por clase,Profesionales,A4,67 372,15 659,51 713
2018,Licencias de conducir por clase,Profesionales,A5,22 890,4 880,18 010
2018,Licencias de conducir por clase,No profesionales,B,971 702,194 253,777 449
2018,Licencias de conducir por clase,No profesionales,C,95 896,24 007,71 889
2018,Licencias de conducir por clase,Especiales,D,123 201,27 181,96 020
2018,Licencias de conducir por clase,Especiales,E,708,50,658
2018,Licencias de conducir por clase,Especiales,F,16 374,3 560,12 814


2017,Licencias de conducir por clase,Profesionales,A1,16 438,300,16 138
2017,Licencias de conducir por clase,Profesionales,A2,80 188,15 171,65 017
2017,Licencias de conducir por clase,Profesionales,A3,34 820,7 507,27 313
2017,Licencias de conducir por clase,Profesionales,A4,63 350,15 099,48 251
2017,Licencias de conducir por clase,Profesionales,A5,21 285,4 597,16 688
2017,Licencias de conducir por clase,No profesionales,B,875 707,181 005,694 702
2017,Licencias de conducir por clase,No profesionales,C,82 859,23 155,59 704
2017,Licencias de conducir por clase,Especiales,D,102 456,26 443,76 013
2017,Licencias de conducir por clase,Especiales,E,539,57,482
2017,Licencias de conducir por clase,Especiales,F,13 826,2 990,10 836
