,,PRECIOS OBSERVADOS A PÚBLICO: PROMEDIOS NOMINALES EN REGIONES Y REGIÓN METROPOLITANA ($/LITRO),,,,,,,,,,,,,,,
,FUENTE HASTA DICIEMBRE 2012: ENCUESTA DE PRECIOS SERNAC,,,,,,,,,,,,,,,,
,"FUENTE DESDE ENERO 2013: Corresponde al precio a público promedio en estaciones, obtenido del sistema de información de precios de la CNE utilizando la misma metodología y muestra de la anterior encuesta SERNAC mensual",,,,,,,,,,,,,,,,
,ND:  NO DISPONIBLE,,,,,,,,,,,,,,,,
,NE:  NO EXISTE,,,,,,,,,,,,,,,,
,,13,15,1,2,3,4,5,6,7,16,8,9,14,10,11,12
,GASOLINA,,,,,,, REGIONES,,,,,,,,,
,93 S/P,REGIÓN,XV REGIÓN,I REGIÓN,II REGIÓN,III REGIÓN,IV REGIÓN,V REGIÓN,VI REGIÓN,VII REGIÓN,XVI REGIÓN,VIII REGIÓN,IX REGIÓN,XIV REGIÓN,X REGIÓN,XI REGIÓN,XII REGIÓN
,, METROPOLITANA,ARICA,IQUIQUE,ANTOFAGASTA, COPIAPÓ,LA SERENA,VALPARAÍSO,RANCAGUA,TALCA,CHILLÁN, CONCEPCIÓN,TEMUCO,VALDIVIA, PUERTO MONTT, COYHAIQUE, PUNTA ARENAS
,janvier/94,"166,5",,"179,4","180,9","181,7","179,6","174,8","173,1","175,3",,"175,2","180,4",,"183,6","194,1","185,8"
,février/94,"166,3",,"179,6",ND,"181,7","180,7","174,5","173,2","175,3",,"175,5","180,6",,"183,8","194,8","186,4"
,mars/94,"166,3",,"179,6","181,0","181,7","179,8","174,7","173,2","175,3",,"175,6","180,8",,"183,8","195,1","184,1"
,avril/94,"170,7",,"184,9","185,7","185,5","184,5","179,2","178,2","182,2",,"180,6","185,6",,"187,1","201,1","189,3"
,mai/94,"170,1",,"184,6","185,7","185,4","184,5","179,3","178,2","182,2",,"180,6","185,7",,"187,3","201,1","188,7"
,juin/94,"184,5",,"184,5","185,7","185,4","184,4","179,4","178,1","182,3",,"180,7","185,7",,"187,1","201,1","188,2"
,juillet/94,"185,3",,"184,5","185,5","185,4","184,4","179,3","178,1","182,4",,"180,8","185,7",,"187,1","201,1","190,4"
,août/94,"194,0",,"194,0","195,4","195,5","194,1","189,0","188,0","193,1",,"190,7","195,4",,"197,2","211,1","198,6"
,septembre/94,"194,6",,"193,8","194,8","160,0","194,1","188,9","188,5","190,8",,"190,8","195,4",,"197,6","211,1","199,7"
,octobre/94,"190,8",,"190,4","192,0","193,9","191,3","185,6","186,2","186,6",,"187,4","192,3",,"193,6","207,1","197,7"
,novembre/94,"189,1",,"190,1","192,0","194,0","191,6","185,6","186,2","186,6",,"187,3","192,2",,"192,6","207,1","197,6"
,décembre/94,"171,7",,"189,6","189,8","194,0","189,8","185,6","186,2","186,8",,"183,9","191,9",,"187,9","207,1","196,4"
,janvier/95,"170,9",,"184,4","186,7","190,9","186,3","180,8","182,1","181,1",,"182,5","187,7",,"187,2","203,0","192,0"
,février/95,"174,8",,"188,6","191,2","196,8","190,8","185,1","186,8","184,9",,"186,6","192,2",,"191,3","209,0","195,7"
,mars/95,"180,2",,"194,6","197,8","203,4","197,0","191,5","193,1","190,9",,"193,0","197,7",,"196,8","215,0","202,4"
,avril/95,"178,5",,"194,6","197,7","203,1","196,9","191,4","193,1","190,8",,"192,5","198,0",,"198,0","215,0","202,4"
,mai/95,"177,0",,"194,6","197,7","203,1","196,6","191,1","193,1","190,2",,"192,4","198,1",,"197,9","215,0","202,3"
,juin/95,"188,1",,"201,6","205,0","211,4","204,5","197,7","200,1","197,7",,"199,5","205,5",,"205,9","223,0","208,6"
,juillet/95,"188,1",,"201,7","204,6","211,4","205,1","198,8","200,1","197,8",,"199,5","205,5",,"205,1","223,0","208,6"
