date,tipo_licencia,clase,nueva,renovada
2020,Profesionales,A1,257,8555
2020,Profesionales,A2,8095,31875
2020,Profesionales,A3,3037,10402
2020,Profesionales,A4,9318,21959
2020,Profesionales,A5,4214,7362
2020,Noprofesionales,B,124522,307229
2020,Noprofesionales,C,16053,28849
2020,Especiales,D,13549,36356
2020,Especiales,E,28,216
2020,Especiales,F,1989,4795
2019,Profesionales,A1,936,48087
2019,Profesionales,A2,15670,119004
2019,Profesionales,A3,6113,30434
2019,Profesionales,A4,15923,53270
2019,Profesionales,A5,5280,18146
2019,Noprofesionales,B,196266,742959
2019,Noprofesionales,C,23411,71495
2019,Especiales,D,27210,94846
2019,Especiales,E,56,587
2019,Especiales,F,3900,12412
2018,Profesionales,A1,770,47496
2018,Profesionales,A2,14938,117713
2018,Profesionales,A3,6715,30408
2018,Profesionales,A4,15659,51713
2018,Profesionales,A5,4880,18010
2018,Noprofesionales,B,194253,777449
2018,Noprofesionales,C,24007,71889
2018,Especiales,D,27181,96020
2018,Especiales,E,50,658
2018,Especiales,F,3560,12814
2017,Profesionales,A1,300,16138
2017,Profesionales,A2,15171,65017
2017,Profesionales,A3,7507,27313
2017,Profesionales,A4,15099,48251
2017,Profesionales,A5,4597,16688
2017,Noprofesionales,B,181005,694702
2017,Noprofesionales,C,23155,59704
2017,Especiales,D,26443,76013
2017,Especiales,E,57,482
2017,Especiales,F,2990,10836
